name trial difficulty fixations accuracy phase hit group
control2 13 710 18 27 before true control
control2 14 710 3 50 before true control
control2 15 710 2 23 before true control
control2 16 710 5 17 before true control
control2 17 700 2 28 before true control
control2 18 700 1 498 before false control
control2 19 700 4 24 before true control
control2 20 700 9 26 before true control
control2 21 700 3 9 before true control
control2 22 700 1 15 before true control
control2 23 700 1 22 before true control
control2 24 690 7 28 before true control
control2 25 690 2 305 before false control
control2 26 690 4 4 before true control
control2 27 690 1 466 before false control
control2 28 690 3 24 before true control
control2 29 690 2 21 before true control
control2 30 690 6 287 before false control
control2 31 690 2 11 before true control
control2 32 690 7 265 before false control
control2 33 690 11 296 before false control
control2 34 690 1 399 before false control
control2 35 700 8 43 before true control
control2 36 700 3 30 before true control
control2 37 700 2 254 before false control
control2 38 700 2 353 before false control
control2 39 700 3 76 before false control
control2 40 710 2 24 before true control
control2 41 700 5 2 training true control
control2 42 700 3 367 training false control
control2 43 700 1 46 training true control
control2 44 700 2 595 training false control
control2 45 700 1 477 training false control
control2 46 700 5 45 training true control
control2 47 700 5 23 training true control
control2 48 700 1 220 training false control
control2 49 700 2 27 training true control
control2 50 700 4 446 training false control
control2 51 700 1 86 training false control
control2 52 700 1 28 training true control
control2 53 700 7 27 training true control
control2 54 700 7 46 training true control
control2 55 700 1 399 training false control
control2 56 710 2 198 training false control
control2 57 710 3 20 training true control
control2 58 710 6 10 training true control
control2 59 710 3 11 training true control
control2 60 700 1 13 training true control
control2 61 700 4 13 training true control
control2 62 700 11 451 training false control
control2 63 700 4 286 training false control
control2 64 700 11 479 training false control
control2 65 710 1 398 training false control
control2 66 710 1 33 training true control
control2 67 710 4 31 training true control
control2 68 710 2 345 training false control
control2 69 710 2 32 training true control
control2 70 710 2 48 training true control
control2 71 710 1 62 training false control
control2 72 710 3 9 training true control
control2 73 710 1 29 training true control
control2 74 710 4 291 training false control
control2 75 710 3 34 training true control
control2 76 710 7 38 training true control
control2 77 710 1 48 training true control
control2 78 710 1 32 training true control
control2 79 710 1 36 training true control
control2 80 700 4 34 training true control
control2 81 700 1 49 training true control
control2 82 700 1 223 training false control
control2 83 700 5 84 training false control
control2 84 700 10 491 training false control
control2 85 710 2 14 training true control
control2 86 710 3 64 training false control
control2 87 710 1 28 training true control
control2 88 710 3 21 training true control
control2 89 710 7 12 training true control
control2 90 710 5 17 training true control
